    0.776995009183883667E+03    0.132117992639541626E+01   -0.249601411819458008E+01    0.230669844150543213E+01   -0.900015521049499512E+01   -0.200771207571029642E+01   -0.392257118225097656E+01   -0.292045354843139648E+01   -0.378322291374206543E+01   -0.398848271369934082E+01   -0.458585646394603539E+10   -0.690775511231546968E+01    1
    0.483739548921585083E+03    0.142911869287490845E+01   -0.153091621398925781E+01    0.223528158664703369E+01   -0.345751833915710449E+01   -0.441676385879516609E+01   -0.116358361244201660E+02   -0.108879582881927490E+02   -0.568778085708618164E+01   -0.526444888114929199E+01   -0.781968370049040318E+08   -0.690875511231548245E+01    1
    0.789454948902130127E+03    0.145327818393707275E+01    0.148802185058593750E+01    0.429890775680541992E+01   -0.721154522895812988E+01   -0.116654346942901608E+02   -0.747802162170410156E+01   -0.806391477584838867E+01   -0.184930515289306641E+01   -0.286774849891662598E+01   -0.679591482908707559E+08   -0.690975511231547301E+01    1
    0.535340821743011475E+03    0.142264968156814575E+01   -0.557172346115112305E+01    0.471228587627410889E+01   -0.335784816741943359E+01   -0.334093970060348511E+01   -0.141982841491699219E+01   -0.103572156429290771E+02   -0.980778193473815918E+01   -0.920878028869628906E+01   -0.661763731759602427E+08   -0.691075511231547601E+01    1
    0.797180008888244629E+03    0.140642869472503662E+01   -0.296564245223999023E+01    0.478181767463684082E+01   -0.100625145435333252E+02   -0.549207438468933073E+01   -0.346107602119445801E+01   -0.987728047370910645E+01   -0.307078242301940918E+01   -0.140866971015930176E+01   -0.545230168546446115E+08   -0.691175511231546658E+01    1
    0.419469928741455078E+03    0.148539263010025024E+01   -0.883188247680664062E-01    0.450187051296234131E+01   -0.897040414810180664E+01   -0.256221534490585290E+01   -0.955086779594421387E+01   -0.257448863983154297E+01   -0.535728192329406738E+01   -0.475592064857482910E+01   -0.467536005402058885E+08   -0.691275511231547579E+01    1
    0.784415447711944580E+03    0.123051732778549194E+01   -0.574522686004638672E+01    0.638099396228790283E+01   -0.774321556091308594E+01   -0.182472533226013178E+01   -0.667097496986389160E+01   -0.340758132934570312E+01   -0.450757598876953125E+01   -0.233767533302307129E+01   -0.439966405180925429E+08   -0.691375511231547435E+01    1
    0.171600019931793213E+03    0.146998703479766846E+01   -0.552722263336181641E+01    0.308375728130340576E+01   -0.361907029151916504E+01   -0.275807684898376460E+01   -0.898670411109924316E+01   -0.782779383659362793E+01   -0.400329494476318359E+01   -0.113676502704620361E+02   -0.437884168830414563E+08   -0.691475511231548357E+01    1
    0.524394059181213379E+03    0.140674138069152832E+01    0.992482662200927734E+00    0.235870897769927979E+01   -0.110155520439147949E+02   -0.697695429325103755E+00   -0.799310374259948730E+01   -0.112464866638183594E+02   -0.721918845176696777E+01   -0.474775671958923340E+01   -0.384049090019559711E+08   -0.691575511231552209E+01    1
    0.628541928529739380E+03    0.149142360687255859E+01   -0.198877620697021484E+01    0.695385587215423584E+01   -0.804348707199096680E+00   -0.930379601240158038E+01   -0.101846315860748291E+02   -0.153363490104675293E+01   -0.647445917129516602E+01   -0.339314961433410645E+01   -0.360685832799239457E+08   -0.691675511231554463E+01    1
